07-29 16:24:40.190 I/[APP][Time](27331): Init using time: 58 ms, current time: 1406622280198 ms
07-29 16:24:40.670 I/VOLOG   (27331): /home/vbuild/mod/29204/main/Source/DRM/Verimatrix/AES128/Project/ndk/v6/jni/../../../../../../../../Common/voLog.c::vologInit0x0a030000::122 @#@#log pWorkPath: /data/data/com.visualon.AppUI/lib/
07-29 16:24:40.670 I/VOLOG   (27331): /home/vbuild/mod/29204/main/Source/DRM/Verimatrix/AES128/Project/ndk/v6/jni/../../../../../../../../Common/voLog.c::voLoadModule0x0a030000::287 @#@#log szDll: /data/data/com.visualon.AppUI/lib/libvoLogSys.so
07-29 16:24:40.670 I/VOLOG   (27331): /home/vbuild/mod/29204/main/Source/DRM/Verimatrix/AES128/Project/ndk/v6/jni/../../../../../../../../Common/voLog.c::voLoadModule0x0a030000::308 @#@#log voLoadModule(0x0a030000)(0xb000fa2c, 0x531a6714, 0x531a6728, 0x531a6740, 0x531a6754)
07-29 16:24:40.670 I/VOLOG   (27331): /home/vbuild/mod/29204/main/Source/DRM/Verimatrix/AES128/Project/ndk/v6/jni/../../../../../../../../Common/voLog.c::vologInit0x0a030000::143 @#@#log maxlevel: 4
07-29 16:24:47.280 I/VOLOG   (27331): 16:24:47.297 @@@VOLOG,    Run, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, CheckDeviceVCASStatus, 399, VR CheckVCASConnection- 0
07-29 16:24:47.280 I/VOLOG   (27331): 16:24:47.298 @@@VOLOG,    Run, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 754, VR SetCallbackClass+
07-29 16:24:47.290 I/VOLOG   (27331): 16:24:47.308 @@@VOLOG,    Run, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 756, VR SetCallbackClass- 0
07-29 16:24:47.290 I/VOLOG   (27331): 16:24:47.308 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 763, e_source_format 8100 SetCallbackClass poniter 0x21e29d4
07-29 16:24:47.300 I/VOLOG   (27331): 16:24:47.310 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 581, u_flag 2, e_source_format 8100
07-29 16:24:47.300 I/VOLOG   (27331): 16:24:47.310 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 799, +lock 4
07-29 16:24:47.300 I/VOLOG   (27331): 16:24:47.310 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 801, -lock 4
07-29 16:24:47.300 I/VOLOG   (27331): 16:24:47.310 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 826, IV 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0
07-29 16:24:47.300 I/VOLOG   (27331): 16:24:47.310 @@@VOLOG,    Run, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 829, VR Decrypt+ 601600
07-29 16:24:47.330 I/VOLOG   (27331): 16:24:47.342 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, ConfigureOutputControlSettings, 959, ConfigureOutputControlSettings
07-29 16:24:47.330 I/VOLOG   (27331): 16:24:47.343 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, ConfigureOutputControlSettings, 960, BestEffort_Enabled 1
